name,address,phone,date,link,type,page,latitude_dms,latitude,longitude
1139,八德路3段156號旁電箱左側,(02)25991234,2024/8/14,https://recycle.moenv.gov.tw/utmap/stations/7aed35bf-c0b6-4bb7-3d0a-08dcbc2b948a,舊衣類,1,"25°02'52.8""N 121°33'18.2""E",25.048,121.5550556
393,光復南路32巷與八德路3段158巷口,(02)22789866,2024/8/14,https://recycle.moenv.gov.tw/utmap/stations/e421f1ee-4aeb-493f-3d0c-08dcbc2b948a,舊衣類,1,"25°02'47.0""N 121°33'19.1""E",25.04638889,121.5553056
290,長春路339巷口,02-25953937,2023/11/1,https://recycle.moenv.gov.tw/utmap/stations/82d1c87f-5f30-4081-f443-08dbdac1e36b,舊衣類,1,"25°03'16.7""N 121°32'41.2""E",25.05463889,121.5447778
272,臺北市慶城街16號與南京東路3段303巷7弄對面(公園),02-25953937,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/9239ed09-16ae-4289-ec31-08dba9f6a3cc,舊衣類,1,"25°03'10.6""N 121°32'45.0""E",25.05294444,121.5458333
279,臺北市興安街與民生東路3段130巷口（公佈欄旁）,02-25953937,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/36d92b9f-edea-462e-ec32-08dba9f6a3cc,舊衣類,1,"25°03'22.0""N 121°32'47.5""E",25.05611111,121.5465278
300,撫遠街與新東街30巷口,02-25953937,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/b5befff6-2aa7-406c-ec33-08dba9f6a3cc,舊衣類,1,"25°03'35.5""N 121°34'03.7""E",25.05986111,121.5676944
306,新中街2巷口,02-25777636,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/8935947d-00a5-4a27-ec34-08dba9f6a3cc,舊衣類,1,"25°03'26.4""N 121°33'38.9""E",25.05733333,121.5608056
307,光復北路60巷19號對面,02-25777636,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/71e12f99-aa50-429b-ec35-08dba9f6a3cc,舊衣類,1,"25°02'59.7""N 121°33'25.1""E",25.04991667,121.5569722
308,市民大道4段257號旁,02-25777636,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/b4e25b56-2792-4141-ec36-08dba9f6a3cc,舊衣類,1,"25°02'42.5""N 121°33'17.3""E",25.04513889,121.5548056
309,八德路3段106巷與延吉街5巷口,02-25777636,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/ed2fae24-a2b4-4793-ec37-08dba9f6a3cc,舊衣類,2,"25°02'47.2""N 121°33'15.1""E",25.04644444,121.5541944
310,八德路3段106巷60號正對面(公園旁),02-25777636,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/b050bd0d-329a-4380-ec38-08dba9f6a3cc,舊衣類,2,"25°02'48.1""N 121°33'15.2""E",25.04669444,121.5542222
329,民生東路3段113巷25弄13號正對面公園,02-25777636,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/a1cf95b2-2c54-48cd-ec39-08dba9f6a3cc,舊衣類,2,"25°03'36.2""N 121°32'47.3""E",25.06005556,121.5464722
377,臺北市八德路2段451巷口,02-22789866,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/6e191204-debf-4d80-ec3a-08dba9f6a3cc,舊衣類,2,"25°02'57.6""N 121°32'51.0""E",25.04933333,121.5475
408,民生東路五段163之1號銀行前方(行道樹旁),02-23660399,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/294f2e92-34b9-401c-ec3b-08dba9f6a3cc,舊衣類,2,"25°03'34.1""N 121°33'47.4""E",25.05947222,121.5631667
416,民生東路五段177巷口(行道樹旁),02-23660399,2023/8/31,https://recycle.moenv.gov.tw/utmap/stations/273a2287-bfb1-4f98-ec3d-08dba9f6a3cc,舊衣類,2,"25°03'32.8""N 121°33'54.3""E",25.05911111,121.5650833
